Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Jalen Tate,U of A,32,29.5,4.1,8.5,0.485,0.8,2.4,0.342,1.9,2.7,0.713,2.6,3,1.1,2.8,3.8,3.8,1.1,0.4,11
Jaylin Williams,AU,27,26.3,4.3,8.3,0.518,1.2,3.5,0.34,1.1,1.8,0.633,1.8,2.4,1.3,3.4,4.7,2,0.7,1.4,10.9
"Victor Bailey, Jr.",UT,27,24.6,3.6,8.9,0.402,1.7,5.1,0.338,2,2.4,0.828,1.1,1.7,0.5,1.5,2,1.6,0.6,0.1,10.9
Olivier Sarr,UK,25,25.1,3.7,7.9,0.47,0.5,1.1,0.444,2.9,3.6,0.791,2,3.1,2.1,3.1,5.2,1.3,0.4,1.2,10.8
Noah Locke,UF,25,29,3.8,8.8,0.425,2.3,5.6,0.404,0.8,1.1,0.778,1.1,1.5,0.4,2,2.4,0.7,0.6,0.2,10.6
Quenton Jackson,TAMU,18,23.4,3.5,7.4,0.474,1.3,3.1,0.411,2.2,2.9,0.736,2.4,2.1,0.7,1.7,2.4,1.7,1.2,0.2,10.4
"Keion Brooks, Jr.",UK,16,23.5,4,9.1,0.441,0.4,1.8,0.214,1.9,2.4,0.795,1.9,2.8,2.5,4.2,6.8,1.6,0.6,0.8,10.3
Jermaine Couisnard,USC,17,26.9,3.4,11.3,0.302,1.5,5.3,0.289,1.7,2.9,0.58,2.6,1.9,0.8,2.2,3,3.2,1.3,0.1,10.1
Mark Smith,MU,26,29.5,3.1,8.3,0.372,1.5,4.9,0.315,2,2.6,0.765,1.5,2.4,0.5,2.7,3.2,1,1,0.2,9.7
Terrence Clarke,UK,8,28.5,4,9.5,0.421,0.6,2.9,0.217,1,2.1,0.471,2.8,2,0.8,1.9,2.6,2,0.6,0.1,9.6
Justin Kier,UGA,25,30.9,3.1,7.9,0.394,1.5,4,0.366,1.8,2.4,0.75,2.4,1.8,0.4,3.3,3.7,2.4,1.7,0.1,9.5
John Fulkerson,UT,25,26.2,3.6,6.8,0.527,0,0.1,0,2.4,3.2,0.747,1.3,1.9,1.6,4,5.5,1.7,0.5,0.6,9.5
Jamal Johnson,AU,27,25.6,3,8.2,0.36,2.1,5.7,0.361,1.4,1.9,0.731,0.9,2.1,0.6,1.9,2.5,1.3,0.8,0.1,9.4
J.T. Thor,AU,27,23.1,3.1,7.1,0.44,0.8,2.7,0.297,2.3,3.1,0.741,1.6,2,1.6,3.4,5,0.9,0.8,1.4,9.4
Tye Fagan,UGA,26,22.2,4,6.9,0.587,0.4,1.4,0.27,0.8,1.4,0.556,1.5,1.2,1.5,2.8,4.3,1.1,0.5,0.3,9.2
Devan Cambridge,AU,27,25.3,3.2,8.5,0.376,1.5,5.3,0.287,1,1.8,0.583,1.4,1.7,1,2.6,3.6,0.7,0.9,0.6,8.9
Savion Flagg,TAMU,17,26.2,3.1,7.8,0.402,1.2,4.2,0.296,1.4,1.9,0.719,1.6,1.2,1.9,2.6,4.5,2.3,0.7,0.4,8.8
Jordan Wright,VU,23,24.5,3.3,6.9,0.487,0.7,1.6,0.432,1.3,2.1,0.646,2.2,2.3,1.4,3.1,4.5,2.1,1.1,0.3,8.7
Yves Pons,UT,26,28.7,3.5,7.4,0.466,0.7,2.4,0.274,1.2,1.5,0.789,1,2.1,1.6,3.7,5.3,0.7,0.7,1.8,8.7
Santiago Vescovi,UT,27,29.2,2.6,6.8,0.388,2,5.3,0.373,1.5,1.8,0.816,1.9,2.3,0.3,3.4,3.7,3.1,1.2,0,8.7
Andrew Garcia,UGA,26,17,3.3,6,0.541,0,0.2,0.167,2.1,2.7,0.771,1.6,2.6,2.1,1.9,4,0.5,0.6,0.3,8.7
P.J. Horne,UGA,26,28.3,3,6.6,0.448,1.8,4.8,0.371,0.8,1.1,0.786,0.5,2.4,1.5,1.8,3.4,0.5,0.7,0.2,8.5
Max Evans,VU,25,25.9,3,6.8,0.45,1.4,3.8,0.354,1,2,0.531,1.2,1.4,0.6,2.6,3.2,1.7,1,0.1,8.5
Davonte Davis,U of A,30,23.7,3.6,7.6,0.476,0.1,0.4,0.154,1.1,1.5,0.756,1.6,2.3,1.2,3.3,4.5,2.1,1.2,0.2,8.5
Isaiah Jackson,UK,25,20.8,3,5.5,0.54,0,0.1,0,2.5,3.6,0.7,1.5,3,2.1,4.5,6.6,0.7,0.8,2.6,8.4
K.J. Buffen,UM,26,22.8,3,6.1,0.497,0.3,0.7,0.389,2.1,3.1,0.667,1.5,2.7,1.8,2.7,4.5,1.5,0.9,0.6,8.4
Andre Gordon,TAMU,18,27.3,3.1,8.5,0.359,1.1,3.4,0.306,1.2,1.7,0.7,2.1,0.9,0.4,2,2.4,2.7,1,0.1,8.3
J.J. Chandler,TAMU,17,20.9,2.8,8.2,0.338,1.4,5.4,0.264,1.2,1.5,0.84,1.4,2.1,0.5,2.1,2.5,1,0.6,0,8.2
Joshua Primo,UA,30,22.4,2.8,6.5,0.431,1.4,3.8,0.381,1.1,1.5,0.75,1.4,1.7,1,2.3,3.4,0.8,0.6,0.3,8.1
Josiah James,UT,25,26.2,2.8,7.1,0.39,1.1,3.6,0.308,1.4,1.8,0.778,1.2,2.2,2,4.4,6.5,2,1.4,1,8
Kobe Brown,MU,26,21.3,3.1,6.6,0.471,0.6,2.5,0.25,1.2,2.2,0.544,1.3,2.8,1.8,4.5,6.2,0.8,0.6,0.4,8
Ty Cressman,AU,1,19,1,2,0.5,0,0,0,6,7,0.857,1,4,0,3,3,1,0,1,8
Scottie Lewis,UF,21,25.7,2.7,6.1,0.445,0.7,2.1,0.318,1.8,2.6,0.673,1.9,2.5,0.8,2.3,3.1,1.5,1.6,1,7.9
Luis Rodriguez,UM,28,26.5,2.8,6.2,0.454,0.8,2.2,0.333,1.2,1.9,0.63,1.5,3,1.6,4.6,6.3,2,1.6,0.6,7.6
Desi Sills,U of A,32,20.8,2.6,6,0.43,0.8,2.7,0.318,1.4,2.1,0.676,1.1,1.6,0.6,2.1,2.7,1.6,1,0.2,7.5
Justin Minaya,USC,20,30.1,2.6,6.9,0.384,0.8,3.6,0.233,0.8,1.3,0.615,1.1,1.9,2.5,3.9,6.3,1.8,0.7,0.8,7
Devin Askew,UK,25,28.9,2,5.7,0.345,0.6,2.2,0.278,2,2.5,0.806,2,1.8,0.4,2.2,2.6,2.9,0.9,0.3,6.5
D.J. Harvey,VU,23,19.7,2.2,5.7,0.389,1.2,3.3,0.368,0.7,0.8,0.889,1.2,1.9,0.5,2.4,2.9,0.5,0.5,0.2,6.3
Connor Vanover,U of A,29,16.3,2.4,5.3,0.452,0.8,2.6,0.324,0.7,0.7,0.952,0.7,1.3,0.9,3.6,4.5,0.5,0.4,1.8,6.3
Javon Pickett,MU,26,17.6,2.7,5.3,0.504,0.3,1,0.36,0.5,0.6,0.867,1,1.9,0.7,1.7,2.3,0.8,0.2,0.2,6.2
Wildens Leveque,USC,21,18.4,2.5,4.2,0.584,0,0,0,1.2,1.9,0.641,1.1,2.9,2.1,2.7,4.8,0.5,0.4,0.6,6.1
Anthony Duruji,UF,25,22,2.6,5.8,0.438,0.4,1.5,0.263,0.6,1.2,0.483,1.2,2.4,1.4,3,4.4,0.6,0.6,0.4,6.1
Trey Thomas,VU,25,18.1,2,5.4,0.363,1.6,3.9,0.398,0.5,0.7,0.722,1,2,0.2,1.2,1.4,0.9,0.6,0,6
Trae Hannibal,USC,20,16.7,1.9,4.5,0.438,0.3,0.7,0.538,1.7,2,0.85,2.1,1.8,1,2.2,3.2,2,1,0.1,6
Abdul Ado,MSU,33,27.7,2.3,4.2,0.554,0,0,0,1.3,1.9,0.667,1.5,2.3,2.6,4.2,6.8,0.7,0.6,2,5.9
Hassan Diarra,TAMU,18,19.7,2,5.7,0.35,0.8,2.6,0.304,1.1,1.7,0.633,2.1,1.8,0.4,1.7,2.1,1.7,1.1,0.1,5.8
Jordan Bruner,UA,24,18.1,1.9,4.4,0.434,0.9,2.7,0.328,0.9,1.3,0.71,0.9,1.6,1.7,2.2,3.9,1.2,1.2,0.9,5.6
Keon Ellis,UA,32,17.6,1.9,3.7,0.504,0.7,1.7,0.389,1.1,1.5,0.723,1.1,2,0.9,3.1,4,1.1,1.1,0.4,5.5
Alex Reese,UA,33,15,2,5.4,0.369,1.1,3.8,0.282,0.4,0.5,0.706,0.5,1.4,0.7,2.4,3.1,0.6,0.5,0.5,5.4
Seventh Woods,USC,18,19,2.3,6.3,0.368,0.3,1.5,0.185,0.4,0.7,0.667,1.9,2.2,0.2,1.4,1.7,1.9,1.1,0.1,5.4
Derek Fountain,MSU,19,19.6,2.1,4.4,0.482,0.8,2.1,0.385,0.4,0.6,0.636,1.2,1.6,0.7,2.3,3,0.9,0.5,0.5,5.4
Dontaie Allen,UK,22,14,1.8,4.5,0.39,1.4,3.5,0.397,0.4,0.6,0.643,0.8,0.7,0.2,1.3,1.5,0.3,0.4,0.3,5.4
Deivon Smith,MSU,33,22.5,2,5.8,0.339,0.6,2.1,0.279,0.7,1.2,0.615,1.7,1.6,0.4,3.2,3.6,2.9,0.9,0.3,5.2
Jalen Johnson,MSU,24,16.5,1.6,4.2,0.386,1,2.8,0.373,0.9,1.3,0.71,0.6,0.8,0.3,1.4,1.7,0.4,0.3,0.2,5.2
Jacob Toppin,UK,24,17.1,1.8,4.1,0.444,0.2,0.5,0.308,1.3,1.7,0.78,0.8,1.1,0.9,2.6,3.5,0.7,0.5,0.2,5.2
Jalyn McCreary,USC,17,13.3,2.2,4.5,0.487,0,0.1,0,0.8,1.3,0.591,0.9,2.8,1.3,1.2,2.5,0.3,0.5,1.1,5.1
Isaac McBride,VU,21,12.5,1.4,4,0.349,1.1,3.2,0.358,0.8,0.9,0.895,0.6,0.9,0,1,1.1,0.7,0.5,0.1,4.7
Mitchell Smith,MU,26,20.4,1.5,3.5,0.418,0.4,1.7,0.25,1.2,1.3,0.882,0.7,2.5,1.4,3.6,5,0.7,0.4,0.5,4.5
Christian Brown,UGA,17,11.4,1.4,3.2,0.436,0.4,1,0.353,1.2,1.8,0.667,1,1.1,0.8,1.8,2.5,0.1,0.5,0.2,4.4
T.J. Moss,USC,18,18.3,1.5,4.5,0.333,0.7,2.3,0.317,0.6,0.8,0.786,1.7,1.8,0.3,0.9,1.2,2.4,1,0.1,4.3
Matthew Murrell,UM,28,17.1,1.5,4.6,0.323,0.7,2.2,0.311,0.5,1,0.556,1.4,1,0.6,1.4,2,0.8,0.5,0.3,4.2
Aundre Hyatt,LSU,24,16,1.6,3.5,0.447,0.4,1.5,0.286,0.6,0.8,0.7,0.4,1,1.4,1.8,3.1,0.5,0.3,0.3,4.2
"Charles Manning, Jr.",LSU,6,17.8,2,4.8,0.414,0,1,0,0.2,0.2,1,0.7,1.3,1,2,3,0.8,0.5,0.2,4.2
Myles Stute,VU,21,15,1,3.6,0.289,0.9,3,0.286,0.9,1.2,0.76,0.8,1.2,0.6,1.8,2.3,0.5,0.3,0.1,3.9
Juwan Gary,UA,30,9.5,1.6,3,0.539,0,0.3,0.111,0.6,1.1,0.529,0.4,1.3,1.3,1.5,2.8,0.2,0.5,0.4,3.8
Dylan Cardwell,AU,27,15.1,1.6,2.3,0.705,0,0,1,0.6,1,0.571,1.5,2.1,1.8,1.8,3.6,0.5,0.4,0.6,3.8
Vance Jackson,U of A,26,11.6,1.3,3.7,0.358,0.9,2.5,0.354,0.3,0.5,0.571,0.5,0.8,0.4,1.7,2,0.7,0.3,0.1,3.8
Omar Payne,UF,24,15.7,1.6,2.2,0.75,0,0,0,0.5,0.9,0.571,0.6,2.4,1.2,2,3.2,0.4,0.4,1.2,3.8
Jaylin Williams,U of A,26,16,1.3,2.7,0.478,0.3,0.9,0.304,0.9,1.2,0.742,0.9,1.9,1.1,3.5,4.7,0.8,0.5,0.7,3.7
Robert Allen,UM,28,16.1,1.1,2.5,0.464,0.1,0.4,0.167,1.2,1.8,0.686,1,1.4,1.6,1.6,3.2,0.8,0.6,0.4,3.6
Mwani Wilkinson,LSU,27,17,1.5,1.9,0.784,0.1,0.2,0.4,0.5,0.7,0.7,0.4,2,1.4,1.3,2.7,0.6,0.7,0.5,3.6
Clevon Brown,VU,17,18.9,1.4,2.8,0.489,0.2,0.9,0.188,0.5,0.9,0.5,0.9,1.9,0.6,2.3,2.9,0.3,0.6,0.9,3.4
Alanzo Frink,USC,3,18.3,1.3,3,0.444,0,0.7,0,0.7,1.3,0.5,1.3,1.7,1,2.7,3.7,0,0,0.3,3.3
Tyrell Jones,AU,7,11.3,0.9,3.4,0.25,0.4,1.9,0.231,1.1,1.7,0.667,2,1.3,0,1.3,1.3,1.1,0.6,0.1,3.3
Joshua LeBlanc,LSU,25,16.7,1.4,2.2,0.667,0,0,0,0.3,0.9,0.348,0.4,2.6,1.8,2.6,4.4,0.6,1,0.7,3.2
