Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
Sammy Hunter,UM,25,7.9,0.8,1.7,0.476,0.2,0.7,0.333,0.4,0.6,0.625,0.5,1.1,0.6,0.8,1.4,0.4,0.1,0.2,2.2
Darius Miles,UA,17,4.2,0.7,1.7,0.414,0.4,1.2,0.35,0.4,0.5,0.875,0.9,0.5,0.2,0.7,0.9,0.2,0.2,0.2,2.2
Jax Robinson,TAMU,14,9.9,0.8,2.2,0.355,0.6,2,0.286,0,0.1,0,0.4,0.7,0.3,0.8,1.1,0.3,0.2,0.1,2.1
Hayden Hefner,TAMU,15,11.9,0.7,2.1,0.323,0.5,1.7,0.308,0.2,0.3,0.75,0.3,1.2,0,1,1,0.5,0.2,0,2.1
Samson Ruzhentsev,UF,20,7.3,0.7,2,0.341,0.4,1.4,0.286,0.2,0.2,0.8,0.5,0.6,0.3,0.3,0.7,0.1,0.1,0.1,2
Ja'Von Benson,USC,3,7.7,0.7,2.3,0.286,0.3,1,0.333,0.3,1.3,0.25,0,0.3,1,1,2,0.7,0,0.3,2
Jaden Quinerly,UA,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
Lance Ware,UK,21,12,0.6,1.5,0.406,0,0,0,0.7,1.3,0.556,0.9,2,1.1,1.9,3,0.4,0.3,0.5,2
Osayi Osifo,UF,20,10,0.8,1.4,0.556,0,0,0,0.4,0.8,0.471,0.8,1.9,1.1,1.4,2.6,0.3,0.1,0.1,1.9
Tyron McMillan,UGA,20,6.7,0.7,1.4,0.464,0,0.1,0,0.6,0.8,0.706,0.5,0.9,0.3,1,1.3,0.1,0.2,0.1,1.9
Ejike Obinna,VU,19,8.1,0.7,1.6,0.467,0,0.1,0,0.4,0.5,0.8,0.5,0.7,0.6,1.3,1.9,0,0.1,0,1.9
Babatunde Akingbola,AU,27,10.9,0.8,1.6,0.477,0,0.1,0.25,0.3,0.9,0.348,0.6,1.8,1.3,1.3,2.6,0.2,0.3,0.9,1.9
Cam'Ron Fletcher,UK,8,7.4,0.9,1.6,0.538,0.1,0.5,0.25,0,0.2,0,0.4,1.2,0.4,1.5,1.9,0.4,0.6,0,1.9
Drew Buggs,MU,26,13.7,0.6,2,0.314,0.2,0.8,0.2,0.5,0.9,0.522,0.9,1.2,0.2,1,1.2,1.9,0.4,0.2,1.8
Torrance Watson,MU,22,7.3,0.5,1.7,0.324,0.5,1.4,0.323,0.3,0.4,0.667,0.2,0.5,0.2,0.4,0.6,0.1,0.2,0,1.8
Jonathan Aku,TAMU,18,14.7,0.5,1.4,0.36,0,0,0,0.8,1.4,0.538,0.9,2.4,1.1,2.1,3.2,0.3,0.2,0.4,1.8
Nathan Nelson,USC,15,7.5,0.6,0.9,0.643,0.4,0.5,0.75,0.1,0.2,0.667,0.2,0.6,0.1,0.4,0.5,0.1,0.3,0,1.7
E.J. Anosike,UT,22,8.5,0.6,1.7,0.342,0,0,0,0.5,0.9,0.6,0.2,0.9,1,0.9,1.9,0.3,0.4,0,1.7
Dimencio Vaughn,UM,16,6.7,0.6,1.8,0.357,0.1,0.8,0.167,0.3,0.8,0.385,0.9,1.2,0.4,1.1,1.5,0.2,0.4,0.1,1.7
Jonathan Ned,UGA,14,6.6,0.6,1.7,0.375,0.4,1.1,0.333,0,0,0,0.4,0.4,0.4,1,1.4,0.1,0.1,0.2,1.6
Shon Robinson,UM,6,3.2,0.5,1.7,0.3,0,0.7,0,0.3,0.8,0.4,0,0.2,0.5,0.3,0.8,0,0,0.2,1.3
Keondre Montgomery,MSU,7,2.9,0.6,2,0.286,0.1,0.6,0.25,0,0,0,0.1,0.3,0.1,0.1,0.3,0.4,0.1,0,1.3
Javon Franklin,AU,23,5.2,0.5,1.3,0.379,0.1,0.3,0.25,0.2,0.4,0.5,0.4,0.3,0.7,1,1.6,0.2,0.1,0.5,1.3
Lior Berman,AU,11,2.6,0.4,1.1,0.333,0.4,1,0.364,0.1,0.1,1,0,0.1,0,0.2,0.2,0,0,0,1.2
Ethan Henderson,U of A,18,6.1,0.6,0.8,0.714,0,0,0,0.1,0.2,0.25,0.2,0.7,0.7,0.6,1.3,0.1,0,0.7,1.2
Keon Ambrose-Hylton,UA,18,4.1,0.6,0.8,0.667,0,0,0,0.1,0.2,0.25,0.2,0.5,0.2,0.6,0.7,0.1,0.1,0.1,1.2
Uros Plavsic,UT,16,4.4,0.4,0.9,0.467,0,0,0,0.2,0.6,0.4,0.1,0.3,0.6,0.4,1.1,0.3,0.1,0.2,1.1
Dude Collum,UM,8,4.1,0.5,1,0.5,0.1,0.4,0.333,0,0.4,0,0.5,0.6,0.5,0.5,1,0.5,0.2,0,1.1
Niels Lane,UF,14,5.9,0.4,1.4,0.263,0,0.5,0,0.4,0.4,0.833,0,0.4,0.1,0.6,0.7,0.3,0.1,0.1,1.1
Braelee Albert,VU,14,12.1,0.3,1.5,0.19,0.3,1.3,0.222,0.1,0.1,1,0.4,1.4,0.4,1.2,1.6,0.5,0.4,0,1
Drew Weikert,VU,2,6,0.5,1.5,0.333,0,1,0,0,0,0,0.5,0.5,0.5,1,1.5,1,0,0,1
Chandler Leopard,AU,3,1.3,0.3,0.7,0.5,0.3,0.7,0.5,0,0,0,0,0,0.3,0,0.3,0,0,0,1
Zan Payne,UK,2,2.5,0.5,1,0.5,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0,1
Andrew Junkin,MSU,4,2.5,0.5,0.5,1,0,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0.2,1
Jaykwon Walton,UGA,2,7.5,0,1.5,0,0,1,0,1,2,0.5,1,0.5,0.5,2.5,3,0,0,0,1
Jason Jitoboh,UF,12,3.5,0.4,0.8,0.556,0,0,0,0.1,0.2,0.5,0.2,0.8,0.2,0.4,0.6,0,0.1,0.1,0.9
Josh Gray,LSU,10,3.3,0.3,0.6,0.5,0,0,0,0.2,0.7,0.286,0.2,0.7,0.5,0.7,1.2,0,0,0.1,0.8
Jordan Wilmore,MU,5,4.2,0.4,0.8,0.5,0,0,0,0,0,0,0.4,1.2,0.2,1,1.2,0.2,0,0,0.8
Davonte Gaines,UT,19,3.5,0.1,0.5,0.222,0,0.2,0,0.5,1.1,0.5,0.2,0.5,0.2,0.6,0.7,0.1,0.3,0.2,0.7
Luke McGhee,TAMU,10,7.7,0.3,0.5,0.6,0,0,0,0.1,0.2,0.5,0.1,1.1,0.6,0.6,1.2,0.1,0.3,0.4,0.7
Chase Maasdorp,AU,3,1,0.3,0.3,1,0,0,0,0,0,0,0,0,0,0.7,0.7,0.3,0,0,0.7
Akeem Odusipe,VU,11,4.2,0.3,0.6,0.429,0,0,0,0,0.2,0,0.5,0.9,0.7,0.5,1.2,0.2,0,0.1,0.5
Britton Johnson,UA,11,1.5,0.2,0.5,0.4,0.2,0.5,0.4,0,0,0,0,0.5,0.1,0.2,0.3,0.1,0,0,0.5
Bryan Penn-Johnson,LSU,5,3.4,0.2,0.2,1,0,0,0,0,0,0,0.8,0.8,0.2,0.4,0.6,0.2,0,0,0.4
Tyler Barnes,UA,13,1.8,0.1,0.2,0.333,0,0.2,0,0.2,0.3,0.5,0,0.2,0.1,0.5,0.6,0.1,0.2,0,0.3
Josh Taylor,UGA,7,2.7,0.1,0.6,0.25,0,0,0,0,0,0,0.6,0.7,0.4,1.1,1.6,0,0.1,0.1,0.3
LaDamien Bradford,TAMU,14,6.9,0.1,0.7,0.1,0,0.3,0,0.1,0.4,0.4,0.3,1,0.1,0.6,0.7,0.4,0.4,0.1,0.3
Kendall Wall,UA,14,1.7,0.1,0.7,0.2,0,0.2,0,0,0.1,0,0.2,0.5,0.2,0.4,0.6,0.1,0.1,0.1,0.3
John McBride,UM,4,1.8,0,0.5,0,0,0,0,0.2,0.5,0.5,0,0,0.2,0.2,0.5,0,0,0,0.2
Mikal Starks,UGA,18,5.7,0.1,0.6,0.2,0,0,0,0,0,0,0.2,0.9,0.2,0.6,0.7,0.7,0.3,0,0.2
Preston Cook,AU,9,1.7,0.1,0.6,0.2,0,0.1,0,0,0,0,0.3,0.2,0.1,0.3,0.4,0.2,0.1,0,0.2
Drew Pember,UT,10,2.5,0.1,0.9,0.111,0,0.4,0,0,0,0,0.2,0.3,0.1,0.2,0.3,0.4,0.2,0.1,0.2
Isaac Stansbury,MSU,2,1.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0,0
Max Adelman,VU,4,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
Emeka Obukwelu,U of A,5,1.6,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0
Abayomi Iyiola,U of A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Parker Edwards,LSU,5,2.8,0,0.6,0,0,0.4,0,0,0,0,0,0.2,0,0.8,0.8,0,0,0,0
Jack May,UF,3,1,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0
Riley Welch,UK,3,2.3,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.3,0,0.3,0,0
Brandon Egemo,LSU,2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent Gilbert,UT,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brock Jancek,UT,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ford Cooper, Jr.",USC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Cottrell,UA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kareem Watkins,UK,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Kimble,U of A,4,1.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0
Delaney Heard,UA,2,1.5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0
Alex Klatsky,UF,4,1.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0,0
Bryson Morehead,U of A,3,0.7,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Rice,VU,7,2.9,0,0.3,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0
Brennan Canada,UK,2,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0
Reggie Morris,MSU,5,2,0,0.4,0,0,0.4,0,0,0,0,0.2,0.2,0,0.2,0.2,0.2,0,0,0
Zach Walker,TAMU,9,2.9,0,0.1,0,0,0,0,0,0,0,0.1,0.6,0.2,0.1,0.3,0,0,0,0
Mike Green,USC,5,2.8,0,1.2,0,0,0.6,0,0,0,0,0.6,0,0,0,0,0,0.4,0,0
