Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,DRAFT
Justin Coleman,U of A,32,30.8,2.8,7.3,0.38,1.2,3.5,0.36,2.1,2.7,0.788,2.1,2,0.2,2.4,2.6,3.8,0.9,0,8.9,0
Cormac Ryan,SU,24,28.6,2.8,8.2,0.333,2,6.5,0.316,1.2,1.6,0.737,1.6,2.5,0.3,3.1,3.5,1.9,1,0.2,8.7,0
Romello White,ASU,34,25,3.3,5.6,0.598,0,0,0,2.1,3.6,0.579,1.3,3.1,2.3,2.9,5.2,0.3,0.4,0.7,8.7,0
Kimani Lawrence,ASU,34,25.1,2.9,6.9,0.419,1,3.1,0.314,1.8,2.4,0.747,1.4,2.6,1.1,2.4,3.5,1.3,0.6,0.2,8.6,0
Jordan Usher,USC,12,24.1,3.2,7,0.452,0.7,2.3,0.286,1.6,2.2,0.704,1.7,3,0.8,2.8,3.7,1.7,0.3,0.2,8.6,0
Parker Van Dyke,U of U,31,24.2,2.9,6.7,0.431,2.3,5.7,0.409,0.4,0.5,0.786,0.9,1.8,0.1,1.3,1.4,1.7,0.9,0.1,8.5,0
Ryan Luther,U of A,32,24.9,3.1,7,0.44,1.4,3.8,0.375,0.8,1.1,0.765,1.2,2.5,1.8,2.5,4.3,1.2,0.8,0.2,8.4,0
Shaqquan Aaron,USC,33,27.7,3.1,6.9,0.447,0.9,2.5,0.369,1.2,1.8,0.633,1.4,2.6,1,3.3,4.3,2.3,0.8,0.3,8.3,0
Evan Battey,CU,36,21.4,2.9,6.1,0.482,0.1,0.4,0.188,2.2,3.1,0.705,1,3,1.9,2.5,4.4,1.2,0.5,0.3,8.1,0
Nahziah Carter,UW,36,20.5,3,6.3,0.478,0.6,2,0.31,1.4,2.2,0.637,1,1.9,1,1.5,2.4,0.9,0.4,0.2,8.1,0
Marvin Cannon,WSU,32,21.5,2.2,5.2,0.436,0.6,1.7,0.333,2.9,3.4,0.844,1.2,1.6,1.1,2.3,3.4,0.6,0.5,0.7,7.9,0
Vante Hendrix,U of U,4,17.8,2.2,5,0.45,1.5,4.2,0.353,1.8,2,0.875,1,2,0.5,2.5,3,1.5,0.2,0,7.8,0
Both Gach,U of U,30,20.1,2.6,5.4,0.472,1,3.2,0.316,1.6,1.9,0.857,1.7,1.3,0.5,1.5,2.1,2.1,0.5,0.1,7.7,0
Kylor Kelley,OSU,31,23.5,3.2,4.9,0.654,0,0,0,1.2,2,0.613,1,2.3,1.5,3.4,5,0.4,0.3,3.4,7.7,0
Derryck Thornton,USC,32,27.8,3,7.8,0.382,0.6,2,0.286,1.1,1.7,0.66,2,1.9,0.4,2.3,2.8,4.3,1.2,0.1,7.7,0
Jules Bernard,UCLA,33,17.2,2.5,5.3,0.469,0.7,1.9,0.371,2,2.7,0.739,1.5,2.1,0.8,2.3,3.1,0.8,0.5,0.1,7.6,0
Connor Vanover,Cal,28,17.5,3,6.3,0.469,1,2.7,0.355,0.6,0.9,0.667,0.6,1.4,0.8,2.2,3,0.2,0.2,1.2,7.5,0
"Victor Bailey, Jr.",UO,37,19.1,2.5,6,0.413,1.3,3.2,0.398,1.1,1.2,0.911,0.8,1.1,0.4,1.6,2,0.9,0.6,0,7.4,0
Ahmed Ali,WSU,32,21.2,2.4,6.4,0.373,1.4,4.3,0.326,1.2,1.4,0.826,1.2,2.2,0.6,1.3,1.8,2.9,0.7,0,7.3,0
Dylan Smith,U of A,32,24.5,2.3,6.9,0.341,1.4,4.1,0.351,1.1,1.4,0.739,1.7,2.2,0.4,3.3,3.7,1.1,0.6,0.3,7.2,0
Jayce Johnson,U of U,29,21.9,3,5,0.597,0,0,0,1.2,2.9,0.4,1.2,3,2.6,5.1,7.7,0.5,0.3,1.1,7.1,0
Namon Wright,CU,14,16.9,2.1,4.6,0.446,0.9,2.4,0.382,1.9,2.3,0.844,0.7,1.1,0.4,2.4,2.9,0.9,0.4,0.2,7,0
Ira Lee,U of A,31,17.8,2.6,4.3,0.617,0,0.1,0,1.3,2.1,0.641,1.2,2.3,1.5,2.7,4.2,0.5,0.2,0.7,6.6,0
Riley Battin,U of U,31,20.1,2.4,4.9,0.483,0.9,2.4,0.36,0.8,1.1,0.686,0.9,1.6,0.8,2.6,3.4,1.2,0.2,0,6.4,0
Kenny Wooten,UO,34,24,2.5,4.3,0.589,0,0,0,1.3,1.9,0.672,1.4,2.6,1.4,3.4,4.8,0.6,0.4,2.1,6.3,0
Chris Smith,UCLA,33,19.6,2.3,5.6,0.405,0.5,1.7,0.281,1.2,1.7,0.719,1.4,1.7,0.6,3.1,3.7,1.3,0.4,0.3,6.3,0
Andre Kelly,Cal,31,19.6,2.3,4.1,0.551,0.1,0.1,0.667,1.7,2.4,0.703,0.9,2.3,1.1,2.7,3.7,0.2,0.5,0.5,6.3,0
Viont'e Daniels,WSU,24,24.5,2,4.8,0.414,1.5,3.7,0.404,0.7,0.8,0.944,1,1.5,0.2,1.5,1.8,2.7,0.5,0.2,6.2,0
Dominic Green,UW,36,22.6,2.1,5.8,0.357,1.6,4.7,0.351,0.4,0.5,0.778,0.8,1.1,0.6,2,2.7,0.7,0.6,0.2,6.1,0
Will Richardson,UO,38,24.3,2.1,4.5,0.468,0.4,1.4,0.278,1.4,2.1,0.675,1.7,1.8,0.6,1.7,2.4,2.5,1.1,0.2,6,0
Bryce Wills,SU,30,25.1,2.2,5.2,0.426,0.3,1,0.267,1.3,2.4,0.556,2.2,1.9,0.8,2.8,3.5,2,1,0.6,6,0
Carter Skaggs,WSU,25,16.7,1.9,4.9,0.385,1.6,4.4,0.358,0.7,0.8,0.895,0.8,0.7,0.2,1.5,1.7,0.7,0.3,0.1,6,0
Ehab Amin,UO,37,17.9,2.1,5.6,0.374,0.9,2.8,0.317,0.8,1.3,0.646,1,1.9,0.6,2.5,3.1,1.2,1.5,0.1,5.9,0
Taeshon Cherry,ASU,30,17.4,2.1,5.4,0.391,1.3,3.9,0.345,0.3,0.5,0.714,0.5,2.3,0.5,2.1,2.6,0.3,0.6,0.2,5.9,0
Marcus Sheffield,SU,27,16,1.9,4.7,0.402,1.1,3.1,0.357,0.7,0.8,0.864,0.7,1.2,0.3,1,1.2,0.6,0.5,0.1,5.6,0
Daylen Kountz,CU,36,17.1,2,4.6,0.433,0.4,1.4,0.308,1.2,1.8,0.646,1.1,1.3,0.1,1.3,1.4,1.3,0.4,0.1,5.6,0
Cody Riley,UCLA,30,17.5,2.1,4.4,0.474,0.2,0.7,0.3,1.1,2.2,0.523,1.4,2.3,0.9,3.2,4.1,0.7,0.3,0.4,5.5,0
David Singleton,UCLA,32,17.5,1.7,3.7,0.449,1.1,2.3,0.467,0.8,1.2,0.684,0.4,1,0.1,1.1,1.2,1,0.5,0.2,5.2,0
Gligorije Rakocevic,OSU,26,15.2,2.1,3.5,0.593,0,0.2,0.2,1,1.3,0.714,0.6,2.1,1.3,1.5,2.8,0.1,0.2,0.4,5.2,0
Elijah Weaver,USC,28,20.5,1.9,4.5,0.421,0.8,2.2,0.355,0.6,0.8,0.762,1.7,1.5,0.4,1.3,1.7,2.4,0.6,0.1,5.1,0
Alfred Hollins,OSU,31,21.2,1.7,4.5,0.377,0.4,1.7,0.231,1,1.7,0.604,1.5,1.9,1.1,2.6,3.7,1.2,0.6,0.2,4.8,0
Jeff Pollard,WSU,29,18,1.9,3.2,0.591,0.1,0.3,0.3,0.9,1.1,0.781,0.7,1.4,0.8,1.7,2.6,0.6,0.4,0.1,4.8,0
Isaiah Wade,WSU,29,14.6,2.1,3.7,0.561,0,0.2,0,0.6,1.4,0.39,0.9,2.2,1.2,2.2,3.5,0.6,0.4,0.1,4.7,0
Jervae Robinson,WSU,32,18.1,1.8,4.8,0.375,0.6,2.1,0.288,0.5,0.7,0.682,1.3,1.6,0.2,1.2,1.4,1.9,0.4,0,4.6,0
De'Quon Lake,ASU,33,13.1,1.8,2.3,0.766,0,0,0,0.9,1.4,0.638,0.7,2.6,1.6,2.1,3.7,0.1,0.3,0.8,4.5,0
Jalen Hill,UCLA,33,20.3,1.5,2.6,0.563,0,0,0,1.3,2,0.677,1.1,2.1,1.9,4.2,6,1.2,0.4,0.4,4.3,0
