Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,DRAFT
R.J. Barrett,DUKE,38,35.3,8.4,18.5,0.454,1.9,6.2,0.308,3.9,5.9,0.665,3.2,1.8,1.6,6,7.6,4.3,0.9,0.4,22.6,1
Zion Williamson,DUKE,33,30,9,13.2,0.68,0.7,2.2,0.338,3.9,6.2,0.64,2.4,2.1,3.5,5.4,8.9,2.1,2.1,1.8,22.6,1
Marcquise Reed,CLEM,31,35.4,6.5,14.8,0.44,1.5,4.4,0.356,4.8,5.7,0.843,2.7,1.9,0.7,4.8,5.5,3,2.1,0,19.4,0
Ky Bowman,BC,31,39.4,6.3,15.6,0.404,2.5,6.8,0.374,3.8,5,0.761,2.9,2.6,0.8,6.7,7.5,4,1.4,0.6,19,0
Tyus Battle,SU,32,36.3,5.9,13.6,0.431,1.3,4.1,0.321,4.1,5.4,0.763,1.8,2.2,0.7,2.6,3.3,2.5,1.2,0.2,17.2,0
Jordan Nwora,U of L,34,31.8,5.8,13.1,0.446,2.3,6.1,0.374,3.1,4,0.765,2.4,2.1,1.2,6.5,7.6,1.3,0.9,0.4,17,0
Cameron Johnson,UNC,36,29.9,5.9,11.6,0.506,2.7,5.8,0.457,2.5,3.1,0.818,1.5,1.5,1.8,3.9,5.8,2.4,1.2,0.3,16.9,1
Nickeil Alexander-Walker,VT,34,34.3,5.6,11.8,0.474,1.7,4.6,0.374,3.3,4.2,0.778,2.9,2.3,0.5,3.6,4.1,4,1.9,0.5,16.2,1
Chris Lykes,UM,32,33.8,5.3,13.2,0.406,1.9,6,0.318,3.6,4.6,0.781,2.9,2.2,0.4,2.2,2.7,3.2,1.3,0,16.2,0
Coby White,UNC,35,28.5,5.4,12.7,0.423,2.3,6.6,0.353,3,3.7,0.8,2.7,1.9,0.3,3.2,3.5,4.1,1.1,0.3,16.1,1
Xavier Johnson,PITT,33,31.1,4.8,11.6,0.415,1.1,3.2,0.352,4.8,6.3,0.751,4,2.7,1.2,2.7,3.9,4.5,1.3,0.1,15.5,0
Kyle Guy,UVA,38,35.4,5.2,11.6,0.449,3.2,7.4,0.426,1.8,2.2,0.833,1.4,1,0.7,3.8,4.5,2.1,0.7,0.1,15.4,1
De'Andre Hunter,UVA,38,32.5,5.4,10.4,0.52,1.2,2.8,0.438,3.2,4.1,0.783,1.4,2,1.4,3.7,5.1,2,0.6,0.6,15.2,1
"Kerry Blackshear, Jr.",VT,35,30,5.3,10.3,0.508,0.6,1.8,0.333,3.8,5.2,0.736,1.8,3.3,3.1,4.5,7.5,2.4,0.7,0.8,14.9,0
Luke Maye,UNC,36,30.9,5.5,12.8,0.43,1,3.5,0.288,2.9,3.7,0.774,2,2.6,2.6,7.9,10.4,2.3,0.6,0.6,14.9,0
